PCT/US99/23087,1999-10-05,?,PCT,CORBIN,ARTHUR,L,59616,1761,426,003000,,None,DISTMT 01,256,10nov2001 00:00:00,9200,2006-03-27,,,200027217,2000-05-18,,,,PEND,METHOD FOR REFINING MINT OILS AND CHEWING GUM MADE FROM SAME,0,0
PCT/US99/21776,1999-09-24,?,PCT,MCAVOY,ELLEN,M,99930,1764,508,582000,,None,LC-338-PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200018210,2000-04-06,,,,PEND,FLUORINATED OIL-CONTAINING COMPOSITIONS,0,0
PCT/US99/18354,1999-08-12,?,PCT,None,None,None,,5332,000,000000,,None,54696PCT5A,218,13sep1999 19:44:54,9200,2006-03-27,,,200060974,2000-10-19,,,,PEND,A MECHANICAL FASTENER AND METHOD FOR MAKING THE SAME,0,0
PCT/US99/17662,1999-08-03,?,PCT,None,None,None,,5332,000,000000,,None,08CV05673,218,24aug1999 19:16:52,9200,2006-03-27,,,200018843,2000-04-06,,,,PEND,AMID MODIFIED POLYESTERS,0,0
PCT/US99/12505,1999-06-04,?,PCT,GREGORY,BERNARR,E,75266,3648,342,174000,,None,47586/P023WO,256,10nov2001 00:00:00,9200,2006-03-27,,,199963619,1999-12-09,,,,PEND,SYSTEM AND METHOD FOR FULLY SELF-CONTAINED CALIBRATION OF AN ANTENNA ARRAY,0,0
PCT/US99/03380,1999-02-17,?,PCT,None,None,None,,5333,000,000000,,None,8194.138.WO,218,11mar1999 21:15:40,9200,2006-03-27,,,199945678,1999-09-10,,,,PEND,"METHODS, APPARATUS AND COMPUTER PROGRAM PRODUCTS FOR PACKET TRANSPORT OVER WIRELESS COMMUNICATION",0,0
PCT/US98/27781,1998-12-29,?,PCT,SHEEHAN,JOHN,P,97553,1742,148,302000,,None,8631-090-228,256,10nov2001 00:00:00,9200,2006-03-27,,,199934375,1999-07-08,,,,PEND,ISOTROPIC RARE EARTH MATERIAL OF HIGH INTRINSIC INDUCTION,0,0
PCT/US98/21815,1998-10-16,?,PCT,None,None,None,,5331,000,000000,,None,6237.PC.O1,218,18nov1998 00:00:00,9200,2006-03-27,,,199919507,1999-04-22,,,,PEND,BIOSENSOR ELECTRODE MEDIATORS FOR REGENERATION OF COFACTORS,0,0
PCT/US98/21593,1998-10-13,?,PCT,COLEMAN,BRENDA,LIBBY,70767,2611,514,210000,,None,PCT 20078Y,256,10nov2001 00:00:00,9200,2006-03-01,,,199918954,1999-04-22,,,,PEND,"CARBAPENEM ANTIBACTERIAL COMPOUNDS, COMPOSITIONS CONTAINING SUCH COMPOUNDS AND METHODS OF TREATMENT",0,0
PCT/US98/21370,1998-10-09,?,PCT,ETIENNE,ARIO,,64243,2781,710,001000,,None,INT1PO18.P,256,10nov2001 00:00:00,9200,2006-03-01,,,199919804,1999-04-22,,,,PEND,METHOD AND APPARATUS FOR SENDING AND RECEIVING LIGHTWEIGHT MESSAGES,0,0
PCT/US98/19352,1998-09-16,?,PCT,LAUFER,PINCHUS,M,61013,2766,380,001000,,None,MS1-129PCT,256,10nov2001 00:00:00,9200,2006-03-01,,,199919822,1999-04-22,,,,PEND,SYSTEM AND METHOD FOR DISCOVERING COMPROMISED SECURITY DEVICES,0,0
PCT/US98/12225,1998-06-11,?,PCT,None,None,None,,5331,000,000000,,None,5690.2.WO,218,01jul1998 00:00:00,9200,2006-03-27,,,199856984,1998-12-17,,,,PEND,ROLL COVER AND METHOD OF MAKING THE SAME,0,0
PCT/US98/10788,1998-05-27,?,PCT,TKACS,STEPHEN,R,60684,2761,705,043000,,None,61339/6339,256,10nov2001 00:00:00,9200,2006-03-27,,,199859308,1998-12-30,,,,PEND,AN AUTOMATED DOCUMENT CASHING SYSTEM,0,0
PCT/US98/09338,1998-05-07,?,PCT,TRAN,THUY,V,81841,2856,073,788000,,None,1008.14W001,256,11nov2001 00:00:00,9200,2006-03-01,,,199850773,1998-11-12,,,,PEND,MICROCANTILEVER BIOSENSOR,0,0
PCT/US98/08050,1998-04-22,?,PCT,None,None,None,,5332,000,000000,,None,51104 PCT,218,20may1998 00:00:00,9200,2006-03-27,,,199849756,1998-11-05,,,,PEND,ELECTRICAL CONNECTOR,0,0
PCT/US98/07933,1998-04-23,?,PCT,None,None,None,,5331,000,000000,,None,6597M/KL,218,11may1998 00:00:00,9200,2006-03-27,,,199847995,1998-10-29,,,,PEND,ORTHOCARBONATE PRO-FRAGRANCES,0,0
PCT/US98/06704,1998-04-03,?,PCT,RICIGLIANO,JOSEPH,W,71076,1618,435,007100,,None,14907-10-1PC,256,10nov2001 00:00:00,9200,2006-03-01,,,199847343,1998-10-29,,,,PEND,POLYVALENT AND POLYCLONAL LIBRARIES,0,0
PCT/US98/04883,1998-03-12,?,PCT,TSO,EDWARD,H,98244,2838,320,132000,,None,97-1203PCT,566,24aug1998 00:00:00,9200,2006-03-27,,,199840925,1998-09-17,,,,PEND,A METHOD FOR DETERMINING STATE-OF-CHARGE USING AN INTELLIGENT SYSTEM,0,0
PCT/US98/04758,1998-03-11,?,PCT,STEFANON,JUSTIN,,99656,3682,074,551100,,None,195.420,566,05jun1998 00:00:00,9200,2006-03-27,,,199842560,1998-10-01,,,,PEND,"HANDLE BAR, PARTICULARLY FOR BICYCLES, AND COMPONENT FOR MAKING SAME",0,0
PCT/US98/02239,1998-02-11,?,PCT,KAUFMAN,CLAIRE,M,59693,1646,536,023500,,None,2625-WO,256,11nov2001 00:00:00,9200,2006-03-01,,,199835986,1998-08-20,,,,PEND,RECEPTOR THAT BINDS TRAIL,0,0
PCT/US98/02231,1998-02-09,?,PCT,None,None,None,,5331,000,000000,,None,27790.1676,218,06mar1998 00:00:00,9200,2006-03-27,,,199835524,1998-08-13,,,,PEND,METHOD AND SYSTEM FOR LOCATING A MOBILE STATION WITHIN A MOBILE TELECOMMUNICATIONS,0,0
PCT/US97/20644,1997-11-14,?,PCT,BAHTA,ABRAHAM,,61854,1775,442,181000,,None,94254CIP.PCT,566,10feb1998 00:00:00,9200,2006-03-01,,,199821026,1998-05-22,,,,PEND,COATED SYNTHETIC RESIN BOARD TILES,0,0
PCT/US97/20256,1997-11-11,?,PCT,None,None,None,,5332,000,000000,,None,8194-56WO,218,11dec1997 00:00:00,9200,2006-03-01,,,199823112,1998-05-28,,,,PEND,TIME-MULTIPLEXED SHORT MESSAGE ACKNOWLEDGMENT SYSTEMS AND METHODS,0,0
PCT/US97/19809,1997-10-30,?,PCT,JACKSON JR,JEROME,,95303,2815,257,003000,,None,NANO 3.4-003,256,11nov2001 00:00:00,9200,2006-03-01,,,199819341,1998-05-07,,,,PEND,MICRO-DYNODE INTEGRATED ELECTRON MULTIPLIER,0,0
PCT/US97/14092,1997-08-12,?,PCT,RIVELL,JOHN,A,96223,3753,137,577000,,None,2135.403401,256,11nov2001 00:00:00,9200,2005-04-18,,,199806626,1998-02-19,,,,PEND,PRESSURIZED FLUID CONTAINER,0,0
PCT/US97/13242,1997-07-25,?,PCT,None,None,None,,5332,000,000000,,None,53071PCT1A,218,22aug1997 00:00:00,9200,2005-04-18,,,199841890,1998-09-24,,,,PEND,STUBLESS OPTOELECTRONIC DEVICE RECEPTACLE,0,0
PCT/US97/09464,1997-05-22,?,PCT,PADGETT,MARIANNE,L,75341,1762,427,596000,,None,13392.25A,256,11nov2001 00:00:00,9200,2005-04-18,,,199803271,1998-01-29,,,,PEND,IN-SITU LASER PATTERNING OF THIN FILM LAYERS DURING SEQUENTIAL DEPOSITING,0,0
PCT/US97/07529,1997-05-01,?,PCT,None,None,None,,5331,000,000000,,None,QUA1844.02P,218,01jul1997 00:00:00,9200,2005-04-18,,,199851002,1998-11-12,,,,PEND,MOTOR CONTROL APPARATUS,0,0
PCT/US97/06025,1997-04-11,?,PCT,TKACS,STEPHEN,R,60684,2761,705,014000,,None,10120/25,256,11nov2001 00:00:00,9200,2005-04-18,,,199740447,1997-10-30,,,,PEND,METHOD AND APPARATUS FOR SCHEDULING THE PRESENTATION OF MESSAGES TO COMPUTER USERS,0,0
PCT/US97/03870,1997-03-12,?,PCT,PAK,MICHAEL,D,95205,1646,530,385000,,None,FP-UD 2464,256,11nov2001 00:00:00,9200,2005-04-18,,,199733595,1997-09-18,,,,PEND,BURN SHOCK RESUSCITATION USING MODIFIED HEMOGLOBIN,0,0
PCT/US97/00309,1997-01-10,?,PCT,None,None,None,,5331,000,000000,,None,5925/VJ,218,07apr1997 00:00:00,9200,2005-04-18,,,199725963,1997-07-24,,,,PEND,HAIR CONDITIONING COMPOSITIONS,0,0
